myRole,otherRole,side,myChamp,otherChamp,value
bot,top,ENEMY,missfortune,mordekaiser,-0.52
bot,top,ENEMY,missfortune,sett,-0.42
bot,top,ENEMY,missfortune,garen,-0.32
bot,top,ENEMY,missfortune,darius,0.78
bot,top,ENEMY,missfortune,malphite,0.32
bot,top,ENEMY,missfortune,jax,-0.29
bot,top,ENEMY,missfortune,drmundo,-1.56
bot,top,ENEMY,missfortune,yorick,-0.4
bot,top,ENEMY,missfortune,nasus,-0.12
bot,top,ENEMY,missfortune,teemo,0.35
bot,top,ENEMY,missfortune,kayle,0.48
bot,top,ENEMY,missfortune,volibear,-0.3
bot,top,ENEMY,missfortune,aatrox,-0.38
bot,top,ENEMY,missfortune,varus,1.17
bot,top,ENEMY,missfortune,renekton,-0.09
bot,top,ENEMY,missfortune,yone,-0.25
bot,top,ENEMY,missfortune,zaahen,-0.4
bot,top,ENEMY,missfortune,gwen,0.61
bot,top,ENEMY,missfortune,ornn,0.24
bot,jng,ENEMY,missfortune,viego,-0.12
bot,jng,ENEMY,missfortune,diana,0.09
bot,jng,ENEMY,missfortune,volibear,-0.29
bot,jng,ENEMY,missfortune,masteryi,-0.21
bot,jng,ENEMY,missfortune,ekko,-0.18
bot,jng,ENEMY,missfortune,kayn,0.03
bot,jng,ENEMY,missfortune,leesin,1.15
bot,jng,ENEMY,missfortune,khazix,0.07
bot,jng,ENEMY,missfortune,warwick,0.61
bot,jng,ENEMY,missfortune,shaco,0.85
bot,jng,ENEMY,missfortune,malphite,-0.68
bot,jng,ENEMY,missfortune,amumu,0.3
bot,jng,ENEMY,missfortune,jax,-0.18
bot,jng,ENEMY,missfortune,briar,0.22
bot,jng,ENEMY,missfortune,nocturne,-0.68
bot,jng,ENEMY,missfortune,sylas,0.34
bot,jng,ENEMY,missfortune,jarvaniv,-0.13
bot,jng,ENEMY,missfortune,drmundo,-1.89
bot,jng,ENEMY,missfortune,zed,0.3
bot,mid,ENEMY,missfortune,yasuo,-0.77
bot,mid,ENEMY,missfortune,akali,-0.18
bot,mid,ENEMY,missfortune,ahri,-0.13
bot,mid,ENEMY,missfortune,veigar,0.28
bot,mid,ENEMY,missfortune,malzahar,0.53
bot,mid,ENEMY,missfortune,yone,-0.09
bot,mid,ENEMY,missfortune,zed,0.1
bot,mid,ENEMY,missfortune,katarina,0.07
bot,mid,ENEMY,missfortune,sylas,0.29
bot,mid,ENEMY,missfortune,fizz,-0.34
bot,mid,ENEMY,missfortune,mel,-0.95
bot,mid,ENEMY,missfortune,lux,-0.22
bot,mid,ENEMY,missfortune,ryze,0.35
bot,mid,ENEMY,missfortune,syndra,-0.25
bot,mid,ENEMY,missfortune,ekko,0.01
bot,mid,ENEMY,missfortune,diana,0.84
bot,mid,ENEMY,missfortune,naafiri,0.07
bot,mid,ENEMY,missfortune,galio,0.81
bot,mid,ENEMY,missfortune,viktor,-0.3
bot,bot,ENEMY,missfortune,caitlyn,-0.27
bot,bot,ENEMY,missfortune,jinx,0.55
bot,bot,ENEMY,missfortune,jhin,-0.62
bot,bot,ENEMY,missfortune,kaisa,0.01
bot,bot,ENEMY,missfortune,ashe,0.4
bot,bot,ENEMY,missfortune,smolder,-0.68
bot,bot,ENEMY,missfortune,ezreal,-1.27
bot,bot,ENEMY,missfortune,aphelios,0.63
bot,bot,ENEMY,missfortune,vayne,1.07
bot,bot,ENEMY,missfortune,tristana,0.81
bot,bot,ENEMY,missfortune,yunara,-0.39
bot,bot,ENEMY,missfortune,lucian,0.29
bot,bot,ENEMY,missfortune,varus,0.66
bot,bot,ENEMY,missfortune,sivir,-0.57
bot,bot,ENEMY,missfortune,twitch,-0.27
bot,bot,ENEMY,missfortune,samira,-0.58
bot,bot,ENEMY,missfortune,draven,-0.35
bot,bot,ENEMY,missfortune,nilah,-0.47
