myRole,otherRole,side,myChamp,otherChamp,value
top,jng,ALLY,garen,viego,-0.28
top,jng,ALLY,garen,diana,0.27
top,jng,ALLY,garen,volibear,-0.03
top,jng,ALLY,garen,ekko,0.25
top,jng,ALLY,garen,masteryi,-0.97
top,jng,ALLY,garen,leesin,-1.26
top,jng,ALLY,garen,kayn,-0.01
top,jng,ALLY,garen,khazix,-0.67
top,jng,ALLY,garen,malphite,1.47
top,jng,ALLY,garen,shaco,0.39
top,jng,ALLY,garen,warwick,-0.15
top,jng,ALLY,garen,jax,-0.54
top,jng,ALLY,garen,amumu,1.01
top,jng,ALLY,garen,nocturne,-0.19
top,jng,ALLY,garen,briar,0.05
top,jng,ALLY,garen,sylas,-0.54
top,jng,ALLY,garen,jarvaniv,-0.95
top,jng,ALLY,garen,drmundo,0.4
top,jng,ALLY,garen,zed,-0.52
top,jng,ALLY,garen,graves,-0.3
top,jng,ALLY,garen,lillia,1.04
top,jng,ALLY,garen,rengar,-1.86
top,jng,ALLY,garen,vi,-0.6
top,jng,ALLY,garen,gwen,0.24
top,jng,ALLY,garen,jayce,0.12
top,jng,ALLY,garen,zac,1.01
top,jng,ALLY,garen,fiddlesticks,1.12
top,jng,ALLY,garen,rammus,-0.16
top,jng,ALLY,garen,evelynn,0.65
top,jng,ALLY,garen,nunu,0.39
top,jng,ALLY,garen,wukong,-0.18
top,jng,ALLY,garen,xinzhao,-0.95
top,jng,ALLY,garen,sejuani,0.21
top,jng,ALLY,garen,naafiri,-1.21
top,jng,ALLY,garen,talon,-0.71
top,jng,ALLY,garen,kindred,0.13
top,jng,ALLY,garen,hecarim,-1
top,jng,ALLY,garen,trundle,0.47
top,jng,ALLY,garen,shyvana,-0.71
top,jng,ALLY,garen,elise,0.89
top,jng,ALLY,garen,udyr,-0.56
top,jng,ALLY,garen,karthus,-0.64
top,jng,ALLY,garen,reksai,-0.56
top,jng,ALLY,garen,qiyana,-0.88
top,jng,ALLY,garen,nidalee,0.36
top,jng,ALLY,garen,belveth,-1.09
top,jng,ALLY,garen,ambessa,-1.36
top,jng,ALLY,garen,aatrox,0.34
top,jng,ALLY,garen,pantheon,-0.13
top,jng,ALLY,garen,nasus,0.16
top,jng,ALLY,garen,teemo,1.7
top,jng,ALLY,garen,ivern,1.04
top,jng,ALLY,garen,mordekaiser,0.81
top,jng,ALLY,garen,taliyah,0.91
top,jng,ALLY,garen,chogath,2.73
top,jng,ALLY,garen,zaahen,-0.8
top,jng,ALLY,garen,zyra,1.43
top,jng,ALLY,garen,tryndamere,0.55
top,jng,ALLY,garen,skarner,0
top,jng,ALLY,garen,gragas,-0.19
top,jng,ALLY,garen,morgana,0.42
top,jng,ALLY,garen,poppy,-0.46
top,jng,ALLY,garen,darius,-0.77
top,jng,ALLY,garen,brand,1.42
top,jng,ALLY,garen,twitch,-1.5
top,jng,ALLY,garen,shen,0.48
top,jng,ALLY,garen,olaf,-4.07
top,jng,ALLY,garen,sion,3.3
top,jng,ALLY,garen,yorick,-0.4
top,jng,ALLY,garen,maokai,-0.59
top,jng,ALLY,garen,fizz,1.06
top,jng,ALLY,garen,rumble,2.19
top,jng,ALLY,garen,riven,-2.78
top,jng,ALLY,garen,sett,1.94
top,jng,ALLY,garen,singed,2.8
top,jng,ALLY,garen,neeko,0.44
top,jng,ALLY,garen,nautilus,-1.42
top,jng,ALLY,garen,vayne,4.29
top,jng,ALLY,garen,quinn,-1.55
top,jng,ALLY,garen,yone,0.75
top,jng,ALLY,garen,taric,-3.54
top,jng,ALLY,garen,ornn,-2.66
top,jng,ALLY,garen,tahmkench,2.75
top,jng,ALLY,garen,kaisa,-3.53
top,jng,ALLY,garen,aurelionsol,-0.48
top,jng,ALLY,garen,camille,2.17
top,jng,ALLY,garen,urgot,7.61
top,jng,ALLY,garen,galio,-1.01
top,jng,ALLY,garen,yasuo,-5.19
top,jng,ALLY,garen,kayle,0.34
top,jng,ALLY,garen,malzahar,5.78
top,jng,ALLY,garen,twistedfate,4.66
top,jng,ALLY,garen,renekton,4.75
top,jng,ALLY,garen,ryze,-3.42
top,jng,ALLY,garen,ezreal,8.75
top,jng,ALLY,garen,zeri,-6.68
top,jng,ALLY,garen,kled,1.52
top,jng,ALLY,garen,heimerdinger,4.13
top,jng,ALLY,garen,tristana,2.08
top,jng,ALLY,garen,varus,7.71
top,jng,ALLY,garen,blitzcrank,3.85
top,jng,ALLY,garen,leona,4.1
top,jng,ALLY,garen,ashe,12.3
top,jng,ALLY,garen,pyke,0.25
top,jng,ALLY,garen,jinx,0.93
top,jng,ALLY,garen,jhin,-2.09
top,jng,ALLY,garen,irelia,9.51
top,jng,ALLY,garen,akshan,-7.61
top,jng,ALLY,garen,nilah,-5.21
top,jng,ALLY,garen,lux,-16.97
top,jng,ALLY,garen,katarina,5.14
top,jng,ALLY,garen,draven,-6.12
top,jng,ALLY,garen,bard,3.33
top,jng,ALLY,garen,gnar,-11.31
top,jng,ALLY,garen,alistar,3.55
top,jng,ALLY,garen,swain,3.27
top,jng,ALLY,garen,gangplank,-2.26
top,jng,ALLY,garen,caitlyn,15.05
top,jng,ALLY,garen,akali,-0.3
top,jng,ALLY,garen,kogmaw,14.64
top,jng,ALLY,garen,missfortune,5.25
top,jng,ALLY,garen,fiora,5.65
top,jng,ALLY,garen,kassadin,4.56
top,jng,ALLY,garen,thresh,-6.77
top,jng,ALLY,garen,samira,15.23
top,jng,ALLY,garen,veigar,-3.98
top,jng,ALLY,garen,ksante,4.28
top,jng,ALLY,garen,braum,7.54
top,jng,ALLY,garen,anivia,7.85
top,jng,ALLY,garen,corki,-7.54
top,jng,ALLY,garen,kennen,-1.82
top,jng,ALLY,garen,lissandra,0.65
top,jng,ALLY,garen,rell,0.32
top,jng,ALLY,garen,smolder,-1.96
top,jng,ALLY,garen,lucian,9.86
top,jng,ALLY,garen,ahri,26.89
top,jng,ALLY,garen,yunara,-1.61
top,jng,ALLY,garen,cassiopeia,4.99
top,jng,ALLY,garen,annie,33.49
top,jng,ALLY,garen,illaoi,0.41
top,jng,ALLY,garen,velkoz,-3.2
top,jng,ALLY,garen,azir,-9.18
top,jng,ALLY,garen,aurora,2.04
top,jng,ALLY,garen,mel,15.94
top,jng,ALLY,garen,leblanc,-18.43
top,jng,ALLY,garen,yuumi,3.64
top,jng,ALLY,garen,lulu,5.22
top,jng,ALLY,garen,aphelios,-11.1
top,jng,ALLY,garen,nami,-5.77
top,jng,ALLY,garen,soraka,-4.8
top,jng,ALLY,garen,vladimir,-12.35
top,jng,ALLY,garen,vex,-11.71
top,jng,ALLY,garen,seraphine,11.71
top,jng,ALLY,garen,xerath,10.89
top,jng,ALLY,garen,xayah,-2.63
top,jng,ALLY,garen,karma,1.46
top,jng,ALLY,garen,janna,-7.63
top,jng,ALLY,garen,sona,-6.21
top,jng,ALLY,garen,orianna,-3.26
top,jng,ALLY,garen,ziggs,-21.29
top,jng,ALLY,garen,rakan,-16.62
top,jng,ALLY,garen,zilean,-7.04
top,jng,ALLY,garen,sivir,-7.84
